date,spot,atm_strike,atm_iv,dte,iv_52w_high,iv_52w_low,iv_rank,iv_trend_10d,iv_trend_20d,iv_10d_ma,iv_20d_ma,iv_10d_std,iv_20d_std,iv_vol_percentile,iv_5d_change,iv_10d_change,iv_1d_change,iv_60d_mean,iv_60d_std,iv_zscore,signal_spike_fade,signal_declining_trend,signal_stagnant_iv,entry_signal,signal_type
2022-03-16,413.2789611816406,410.0,0.30279999999999996,14.0,0.3986,0.19319999999999998,53.359298928919166,0.00018515151515151226,0.0035541353383458656,0.345215,0.31616,0.027915000447788198,0.0454090809373957,,-0.19199466310873936,0.1258598252463281,-0.12913431118780572,,,,True,False,False,True,spike_fade
2022-04-11,418.6551208496094,422.0,0.24405,14.0,0.3986,0.1734,31.37211367673179,-0.002465757575757577,-0.010228984962406014,0.21492499999999998,0.2795175,0.025265383102841005,0.07128311838791335,,0.20459032576505431,-0.24594469334157265,0.15938242280285042,,,,False,True,False,True,declining_trend
2022-05-13,382.3015441894531,386.0,0.30945,14.0,0.3986,0.1734,60.412966252220244,0.007021212121212119,0.008830112781954887,0.31047,0.26008749999999997,0.037394601511745354,0.059276661500831974,,-0.07585486038524702,0.3668286219081274,-0.10872695852534564,,,,True,False,False,True,spike_fade
2022-05-20,370.7960205078125,374.0,0.2999,14.0,0.3986,0.1734,56.17229129662522,-0.0029175757575757555,0.007536203007518797,0.31635,0.2736575,0.027141982650908697,0.05566735619779904,,-0.15959086450889726,0.03306923871856693,-0.029763830475574182,,,,True,False,False,True,spike_fade
2022-05-23,377.73358154296875,374.0,0.29805,14.0,0.3986,0.1734,55.35079928952042,-0.0026224242424242408,0.006577180451127819,0.31257999999999997,0.27901750000000003,0.026763544857386502,0.05233573619330047,,-0.14156105990783419,-0.1122859270290395,-0.006168722907635926,,,,True,False,False,True,spike_fade
2022-06-06,391.884765625,395.0,0.26975000000000005,15.0,0.3986,0.1734,42.78419182948492,-0.004208484848484847,-0.00027409774436090137,0.2862,0.2941825,0.017427006500129644,0.03476985337828403,0.0,-0.09495051165911739,-0.22307027649769573,-0.04157043879907596,0.28367,0.053092991813053984,-0.2621814956108279,False,True,False,True,declining_trend
2022-06-08,391.34234619140625,395.0,0.2586,14.0,0.3986,0.1734,37.83303730017762,-0.004163939393939393,-0.0018526691729323305,0.281115,0.2957925,0.01730744942374702,0.03210977583147178,0.0,-0.08281610214577062,-0.1643238002908386,-0.04133456904541255,0.28393,0.0529283943852767,-0.47857110146999216,False,True,False,True,declining_trend
2022-06-10,370.9577941894531,374.0,0.2954,14.0,0.3986,0.1734,54.1740674955595,-0.003279090909090908,-0.0028584210526315787,0.282385,0.29894000000000004,0.01789273673247844,0.02845075431429951,3.3333333333333335,0.14651659227634384,0.04492394764768304,0.14230471771075015,0.2851658333333333,0.052302027451763024,0.19567437755841208,False,True,False,True,declining_trend
2022-06-29,363.5185241699219,365.0,0.28059999999999996,14.0,0.3986,0.1734,47.602131438721116,-0.0002945454545454578,-0.002143045112781956,0.28837999999999997,0.2949325,0.029992797283496152,0.03058299009081254,33.33333333333333,-0.20318046287093572,0.03161764705882342,0.1177056363274247,0.2871658333333333,0.0507274759999715,-0.1294334717804019,False,True,False,True,declining_trend
2022-07-01,364.3787536621094,366.0,0.27155,14.0,0.3986,0.1734,43.583481349911196,-0.0016745454545454576,-0.0014994360902255647,0.28739,0.29066749999999997,0.03040748080471143,0.027261141010796453,36.666666666666664,-0.11069264778123467,-0.03517498667614127,-0.03225231646471827,0.2854466666666667,0.04944224919691375,-0.28106865873598075,False,True,False,True,declining_trend
